20210126,盐田区,梅沙,万科东海岸 4室2厅 东南 南必看好房,730万,中楼层                                    (共15层)                                                                      | 2005年建 |                                4室2厅 | 165.44平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_0k810EaIt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,一期安静精装两房，住家舒适，楼层居中，居家好选择必看好房,410万,低楼层                                    (共9层)                                                                      | 2004年建 |                                2室1厅 | 85.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_StmxBgupR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科东海岸清涛阁，业主诚心出售。必看好房,240万,高楼层                                    (共14层)                                                                      | 2004年建 |                                1室1厅 | 57.83平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_9zWv5t5QK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科东海岸美湖居，业主诚心出售。环境优美,520万,低楼层                                    (共11层)                                                                      | 2004年建 |                                3室2厅 | 116平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_k3Vdf41G2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,优质房源，适合居住，配套设施齐全,160万,中楼层                                    (共7层)                                                                      | 2002年建 |                                1室0厅 | 45.24平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_4HTDqH47p.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科东海岸一高楼层，业主诚心出售。,410万,高楼层                                    (共9层)                                                                      | 2002年建 |                                2室2厅 | 85平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_zFYbrosaQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,鸿威海怡轩 精装房 户型通透 满五年 生活便利,200万,中楼层                                    (共11层)                                                                      | 2009年建 |                                1室1厅 | 48.22平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_H4UVEghdc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,八十步海寓 3室1厅 东南,350万,中楼层                                    (共5层)                                                                      | 2012年建 |                                3室1厅 | 100.99平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_GcXMdruuR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,精装修 采光通风好 位置好  诚心出售,288万,中楼层                                    (共8层)                                                                      | 2009年建 |                                1室0厅 | 47.84平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-bb5e1191-ab3f-4b43-9327-eebec9397081.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,业主诚意出售，看房方便，安静舒适,140万,低楼层                                    (共9层)                                                                      | 2007年建 |                                1室0厅 | 42平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_uEXRrUMOL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,大梅沙全海景大单间，度假生活两不误,300万,高楼层                                    (共4层)                                                                      | 2004年建 |                                1室0厅 | 77.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KD4mMstVz.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科东海岸 精装两房 户型方正 位置安静 适合居家,420万,低楼层                                    (共9层)                                                                      | 2004年建 |                                2室2厅 | 85.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_N6q7191Xz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,三房 红本 看房找张将 实用率百分之99.5,449万,高楼层                                    (共8层)                                                                      | 2007年建 |                                3室2厅 | 105平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_Z0Xd9hOmo.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,即将满五唯一，门口带100平公摊露台（小鹏）推荐,320万,中楼层                                    (共8层)                                                                      | 2007年建 |                                2室1厅 | 68.54平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/1066e717-98a8-4d60-a58f-27a6d69ffc89_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,云顶天海 精装一房 户型通透 中间楼层 采光好,158万,中楼层                                    (共8层)                                                                      | 2006年建 |                                1室0厅 | 29.43平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_J8sLnl2Nh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,低总价小两房，交通便利，位置居中，过渡好选择,215万,高楼层                                    (共7层)                                                                      | 2002年建 |                                2室1厅 | 65.36平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_N91Ys9Wh5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,业主红本在手，满五税费少，诚心卖的业主。,245万,中楼层                                    (共8层)                                                                      | 2006年建 |                                1室1厅 | 46.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_QiU0Ztj6b_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,大梅沙花园小区，满五唯一，精装两房，（小鹏）推荐,270万,低楼层                                    (共8层)                                                                      | 2007年建 |                                2室2厅 | 69.92平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_vFgoqNj15_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,泊岸朝南大户型 位置安静 户型通透 业主有心卖,600万,低楼层                                    (共11层)                                                                      | 2007年建 |                                4室2厅 | 159平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DN0gZUgPu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,优品艺墅 自住精装2房 朝南满5年 唯一 诚信卖,350万,低楼层                                    (共8层)                                                                      | 2007年建 |                                2室2厅 | 91.79平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_VlCZyqx6C_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,精装修 采光通风好 位置好 看房方便  诚心出售,208万,中楼层                                    (共8层)                                                                      | 2009年建 |                                1室1厅 | 49.53平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_wpM9p36kk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,房子满五唯一业主有心卖税费少，高楼层看海景山景,200万,中楼层                                    (共11层)                                                                      | 2009年建 |                                1室0厅 | 48.49平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zxDqKsN2M_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科东海岸 1室1厅 南,282万,低楼层                                    (共16层)                                                                      | 2008年建 |                                1室1厅 | 60.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OJrehU9AH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,《糯家 李慧》优品艺墅 端头位置精装两房 诚意出售,320万,中楼层                                    (共8层)                                                                      | 2007年建 |                                2室2厅 | 74.22平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_4qz6NFAgb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,自住投z两相宜， 业主诚意出售，有钥匙，看房方便,150万,高楼层                                    (共9层)                                                                      | 2007年建 |                                1室0厅 | 41.96平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_w6ae8BSJ0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,满五年 楼层好 采光充足 视野开阔,630万,中楼层                                    (共8层)                                                                      | 2006年建 |                                3室2厅 | 114.95平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Xbk76VAAk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,梅沙低总价小两房，刚需户型，居家实用，交通便利,230万,低楼层                                    (共11层)                                                                      | 2002年建 |                                2室1厅 | 61.39平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_w3EPNALBw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,品质装修，拎包入户，全海景观已经做好茶室,750万,高楼层                                    (共9层)                                                                      | 2004年建 |                                3室2厅 | 144.01平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_FlElF8vLv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,云顶天海  精装两房独特户型  21年1月满五,280万,中楼层                                    (共8层)                                                                      | 2006年建 |                                2室2厅 | 54.4平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_0JKEa0Adr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,大梅沙优品艺墅大平面精装修，户型通透，看园景,650万,中楼层                                    (共8层)                                                                      | 2007年建 |                                4室3厅 | 176.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_HXPP9hQYO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,八十步海寓精装三房，业主急卖，价格可谈,148万,高楼层                                    (共6层)                                                                      | 2012年建 |                                3室0厅 | 62.4平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qCi7Ax6nF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,大梅沙精装修海景3房公寓，直面大海，拎包入住,360万,高楼层                                    (共12层)                                                                      | 2005年建 |                                3室1厅 | 64.11平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_E3GkUUMMa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,满五 大梅沙海滨泊岸雅苑 生活便利 交通方便 度假好房,150万,高楼层                                    (共9层)                                                                      | 2007年建 |                                1室1厅 | 41.96平米                                  | 南 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_h0qj384sF.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科东海岸精装三房 南向户型方正 业主自住保养好必看好房,485万,中楼层                                    (共5层)                                                                      | 2002年建 |                                3室2厅 | 112.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_UDtOlRoJM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,满五年 马峦山下 万科东海岸社区 精装一居 看小区湖景,170万,高楼层                                    (共14层)                                                                      | 2002年建 |                                1室0厅 | 43.9平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_pPuAxdlp2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,海语东园  一房一厅  30平大露台,280万,低楼层                                    (共7层)                                                                      | 2004年建 |                                1室1厅 | 51.26平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_f36knde8f_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,本房满五唯一，户型方正，红本在手，无抵押,650万,中楼层                                    (共9层)                                                                      | 2004年建 |                                3室2厅 | 127.45平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_8u4wlhxmH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,大梅沙 湖心岛公寓 满两年 住宅单间 业主诚心出售,140万,中楼层                                    (共5层)                                                                      | 2007年建 |                                1室1厅 | 29.27平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_uJHppsvcf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,云顶天海精装单房，有独立洗手间，大梅沙花园小区。,153万,中楼层                                    (共8层)                                                                      | 2006年建 |                                1室1厅 | 29.98平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_zTyyKnjpJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,梅沙独特单间户型   业主诚心卖   交通便利 看房方便,180万,中楼层                                    (共7层)                                                                      | 2002年建 |                                1室0厅 | 45.24平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Wg2bC0QVS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,八十步海寓 2室2厅 南,305万,低楼层                                    (共6层)                                                                      | 2012年建 |                                2室2厅 | 90.67平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Q8mrzvdS9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,湖心岛公寓 70年产权住宅 西班牙风情小镇度假优选,248万,中楼层                                    (共5层)                                                                      | 2007年建 |                                1室0厅 | 61.07平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kC9KdwWKU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,泊岸雅苑一房诚售，红本70年产权，置业上选！,150万,高楼层                                    (共9层)                                                                      | 2007年建 |                                1室0厅 | 41.92平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_3PbUUM6i7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,盐田大梅沙马峦山下海阔凌海公寓高层看海精装修,120万,高楼层                                    (共8层)                                                                      | 2004年建 |                                1室1厅 | 47.63平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kJbQhCvG9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,大三房舒适住宅，梅沙优质住宅。,700万,中楼层                                    (共9层)                                                                      | 2004年建 |                                3室2厅 | 144.01平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_q9XD1gkyW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,海世界 一线海景房，可拎包入住，价格便宜,225万,低楼层                                    (共12层)                                                                      | 2005年建 |                                1室1厅 | 49.05平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_mxbArLi7E.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,梅沙二手度假公寓 精美装修 价格可议 价高者得,230万,低楼层                                    (共11层)                                                                      | 2002年建 |                                2室1厅 | 57.71平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_3QfiSC9st_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,满五房源居住与休闲于一体，闹中取静生活配套设施齐全,279万,高楼层                                    (共5层)                                                                  1室1厅 | 54.5平米                                  | 南 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_mDsFN1Ywl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,心海假日，大梅沙海边的家，离海300米,158.8万,中楼层                                    (共7层)                                                                      | 2002年建 |                                1室0厅 | 45.24平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oD7TQfcuq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,满5年红本在手，景色优美环境好,250万,中楼层                                    (共5层)                                                                      | 2012年建 |                                3室1厅 | 75.92平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_dLY9xLlP4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,心海假日 临海公寓 方正实用 总价低,155万,中楼层                                    (共7层)                                                                      | 2002年建 |                                1室0厅 | 45.24平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_P74oMe2JK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,东海岸3期正南向2房 很安静适合住家，红本在手,410万,低楼层                                    (共15层)                                                                      | 2005年建 |                                2室2厅 | 80.94平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_LBlbj7Gn0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,东海岸一期少有的朝南三房，装修保养好，价格实惠,600万,中楼层                                    (共5层)                                                                      | 2002年建 |                                3室2厅 | 115.22平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_hDROmwK8C_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,罗湖东盐田大梅沙低总价看海景红本满五年急售,113万,中楼层                                    (共8层)                                                                      | 2004年建 |                                1室1厅 | 38.3平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yxKZ9jUq0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,八十步海寓 小区环境优美花园大社区,160万,中楼层                                    (共5层)                                                                      | 2012年建 |                                1室0厅 | 55.05平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_sf2N8TzlV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,泊岸大三房 户型方正 业主诚心出售,545万,低楼层                                    (共11层)                                                                      | 2007年建 |                                3室1厅 | 115平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/0d4a2b88-e10c-433f-93a5-808cff8cdeef_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,八十步海寓 小区环境优美花园大社区   满5红本。,200万,中楼层                                    (共5层)                                                                      | 2012年建 |                                1室1厅 | 62.18平米                                  | 东南 西 西北,http://ke-image.ljcdn.com/440300-inspection/prod-acc3d8c9-08ab-406a-9139-fa353aa0cde8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,我与大海有个约会 大梅沙奥特莱斯大公寓,205万,中楼层                                    (共6层)                                                                      | 2012年建 |                                2室2厅 | 64.38平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_7yLKBEql7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,直面大海，春暖花开。海边小公寓，惬意生活的开始。,230万,低楼层                                    (共12层)                                                                      | 2005年建 |                                1室0厅 | 50平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-edaa1186-2238-47c7-b86f-71fd71f67efc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,满五年，万科东海岸成熟大社区，绿化好，住家舒服,650万,中楼层                                    (共9层)                                                                      | 2004年建 |                                3室2厅 | 127.4平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-b0dc9381-6746-47f7-984b-83e93bd81bcb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,优品艺墅精装两房 与海为邻生活配套完善,310万,中楼层                                    (共8层)                                                                      | 2007年建 |                                2室2厅 | 74平米                                  | 西南 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_TxDr8PhHM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,海阔凌海公寓   70年住宅公寓 一房一厅环境好 总价低,128万,低楼层                                    (共8层)                                                                      | 2004年建 |                                1室1厅 | 51.74平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_sJ7OyVVlJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,湖心岛2房住宅 西班牙风情 度假优选 湖景居家 满五年,320万,中楼层                                    (共5层)                                                                      | 2007年建 |                                2室1厅 | 80.18平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-032606a4-267b-4088-bc19-8a81eede11cd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,东海岸三期  品质装修 全海景3+1房,720万,低楼层                                    (共15层)                                                                      | 2007年建 |                                3室2厅 | 165.23平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-c275ccb8-2076-4bdf-a993-36f96d1525de.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,海景两房，小资物业，舒适住家，度假优选,260万,中楼层                                    (共5层)                                                                      | 2004年建 |                                2室2厅 | 79.86平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-dbd653b9-bdb7-40a3-8804-76565ac8403e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,东海岸高楼层一房一厅，过度好选择，看小区泳池景观,250万,高楼层                                    (共14层)                                                                      | 2004年建 |                                1室1厅 | 57.82平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/pc1_KVFyH0uA8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,大梅沙奥特莱斯旁三房，住家新选择,440万,低楼层                                    (共8层)                                                                      | 2007年建 |                                3室2厅 | 98.44平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-2380105a-6075-4933-8984-ac8a7e8c201f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,湖心岛公寓 两房 满五年 西班牙风情小镇度假优选湖景,410万,中楼层                                    (共5层)                                                                  2室1厅 | 106.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_fCy3pE92i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,泊岸雅苑 一房一厅 大面积 与海为邻 度假小区 满二年,240万,中楼层                                    (共9层)                                                                      | 2007年建 |                                1室1厅 | 59.42平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_mWzhUfWt1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科二期  大平层海景 采光通风好 格局实用 看房方便,800万,中楼层                                    (共9层)                                                                      | 2004年建 |                                4室2厅 | 165.43平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_yhVGttlr8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,盐田区,梅沙,万科一期 园林小区 满五年 安静舒适 刚需居家,500万,低楼层                                    (共11层)                                                                      | 2004年建 |                                3室2厅 | 112.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_CTN7GDLTv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
